City Name,Temperature,Weather Condition
Accra,27ʡC,N/A
Addis Ababa,15ʡC,N/A
Adelaide,11ʡC,N/A
Algiers,29ʡC,N/A
Almaty,22ʡC,N/A
Amman,32ʡC,N/A
Amsterdam,17ʡC,N/A
Anadyr,6ʡC,N/A
Anchorage,11ʡC,N/A
Ankara,27ʡC,N/A
Antananarivo,22ʡC,N/A
Asuncion,21ʡC,N/A
Athens,32ʡC,N/A
Atlanta,18ʡC,N/A
Auckland,11ʡC,N/A
Bangkok,29ʡC,N/A
Barcelona,26ʡC,N/A
Beijing,26ʡC,N/A
Beirut,30ʡC,N/A
Belgrade,25ʡC,N/A
Bengaluru,24ʡC,N/A
Berlin,22ʡC,N/A
Bogota,15ʡC,N/A
Boston,17ʡC,N/A
Brasilia,28ʡC,N/A
Brisbane,14ʡC,N/A
Brussels,18ʡC,N/A
Bucharest,26ʡC,N/A
Budapest,23ʡC,N/A
Buenos Aires,18ʡC,N/A
Cairo,33ʡC,N/A
Calgary,9ʡC,N/A
Canberra,4ʡC,N/A
Cape Town,19ʡC,N/A
Caracas,28ʡC,N/A
Casablanca,25ʡC,N/A
Chicago,22ʡC,N/A
Copenhagen,20ʡC,N/A
Dallas,22ʡC,N/A
Dar es Salaam,28ʡC,N/A
Darwin,28ʡC,N/A
Denver,18ʡC,N/A
Detroit,18ʡC,N/A
Dhaka,29ʡC,N/A
Doha,35ʡC,N/A
Dubai,37ʡC,N/A
Dublin,15ʡC,N/A
Edmonton,5ʡC,N/A
Frankfurt,19ʡC,N/A
Guatemala City,18ʡC,N/A
Halifax,16ʡC,N/A
Hanoi,28ʡC,N/A
Harare,27ʡC,N/A
Havana,26ʡC,N/A
Helsinki,21ʡC,N/A
Hong Kong,29ʡC,N/A
Honolulu,26ʡC,N/A
Houston,26ʡC,N/A
Indianapolis,16ʡC,N/A
Islamabad,33ʡC,N/A
Istanbul,28ʡC,N/A
Jakarta,27ʡC,N/A
Jerusalem,30ʡC,N/A
Johannesburg,27ʡC,N/A
Karachi,27ʡC,N/A
Kathmandu,23ʡC,N/A
Kingston,30ʡC,N/A
Kinshasa,31ʡC,N/A
Kolkata,31ʡC,N/A
Kuala Lumpur,27ʡC,N/A
